price,link,seller,purchased
$25.99,Betafpv lava 450mah 2s lipo,amazon,yes
$7.99,580 pcs heatshrink assorted,amazon,yes
$8.88,16 awg silicon wire 20ft red & black,amazon,yes
$12.48,26 awg silicon wire 100ft assorted colors,amazon,yes
$4.01,100 pcs m3 heatset inserts,amazon,yes
$6.99,5 pcs xt30 pigtails,amazon,yes
$12.99,750 pcs M3 stainless steel screws assorted,amazon,yes
$18.96,xiao rp2350 x3,robotshop,yes
$8.99,3.5mm bullet connectors,amazon,yes
$2.70,Orange 2-3s tinysled,tinysled,yes
$7.81,Elmer's Rubber Cement,amazon,yes
$12.95,Liquid Latex,amazon,yes
$11.45,ASI 388 Clear Electronic Grade Silicone 2.8oz,amazon,yes
$19.99,High Density EVA foam block ,amazon,yes
$45.00,AM32 Dual Brushless Drive ESC,repeat robotics,yes
$29.98,2 pcs brushless outrunner 1100kv,palm beach bots,yes
$8.89,Mini power switch 40a,palm beach bots,yes
$1.50,Power Distribution Board,palm beach bots,yes
$8.99,ELRS Lite Receiver,betafpv,yes
$9.74,Toothies AR550 steel,sendcutsend,no
$14.99,1kg Inland green PLA+,microcenter,yes
,,,
$358.85,PCB (double sided assembly + quick shipping),jlc,no
,,,
$281.27,,,
,,,
,,,
alternative parts,,,
price,link,seller,purchased
$25.98,2 pcs 20a esc blheli_s,palm beach bots,yes